Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Direction,LAC Image #
1854,April,24,American,Schooner,?Aviso?,Black River,Oswego,Oak Planks, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Schooner,Jane E. Rogers,Cleveland,Oswego,Pork, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Schooner,Freeman,Cleveland,Montreal,Corn,Lard,Flour,,Downbound,IMG_4360.jpg
1854,April,24,American,Propeller,Cleveland,Cleveland,Ogdensburg,Ashes,Pork,,,Downbound,IMG_4360.jpg
1854,April,24,British,Steamer,Reindeer,Cleveland,Montreal,Pork, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Propeller,Boston,Ogdensburg,Cleveland,Marble,Merchandise,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Daniel Webster,Rochester,Toledo,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Brigantine,Poland,Sackets Harbour,Toledo,Waggons,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Troy,Henderson,Toledo,Stone,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Steamer,Ottawa,Prescott,Milwaukee,R.R. Iron,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner ,California,Kingston,Cleveland,R.R. Iron,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner ,Briton,Kingston,Port Stanley,Stone,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner ,Lafayette Cook,Kingston,Port Robinson,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner ,Isabella,Toronto,Chatham,Merchandise,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner,Teresa Shickluna,St. Catharines,Port Stanley,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Isabel,Oswego,Erie,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Emblem,Oswego,Port Dover,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Propeller,Louisville,Oswego,Sandusky,R.R. Iron,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Governor Hunt,Oswego,Cleveland,R.R. Iron,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner ,Coleraine,Oswego,Cleveland,Salt,,,,Upbound,IMG_4359.jpg
1854,April,24,British,Schooner ,Forest Queen,Oswego,Morpeth,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,24,American,Schooner,G.S. Weeks,Port Burwell,Oswego,Lumber, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Brigantine,Saxon,Toledo,Kingston,Corn, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Schooner,Major Kirby,Toledo,Port Hope,Corn, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Schooner,Carlton,Toledo,Oswego,, ,,,Downbound,IMG_4360.jpg
1854,April,24,American,Schooner,Comely,Toledo,Oswego,Corn, ,,,Downbound,IMG_4360.jpg
1854,April,25,American,Propeller,Vermont,Cleveland,Ogdensburg,Flour,Apples,,,Downbound,IMG_4362.jpg
1854,April,25,American,Schooner,John Oades,Cleveland,Oswego,Pork, ,,,Downbound,IMG_4362.jpg
1854,April,25,American,Schooner,Andover,Cleveland,Oswego,Corn, ,,,Downbound,IMG_4362.jpg
1854,April,25,American,Schooner,Conquest,Detroit,Oswego,Oats, ,,,Downbound,IMG_4362.jpg
1854,April,25,American,Schooner,Traveller,Ogdensburg,Chicago,No Cargo,,,,Upbound,IMG_4361.jpg
1854,April,25,British,Schooner,Lord Seaton,Kingston,Point Pelee,No Cargo,,,,Upbound,IMG_4361.jpg
1854,April,25,British,Schooner,Free Trader,Kingston,Cleveland,No Cargo,,,,Upbound,IMG_4361.jpg
1854,April,25,British,Schooner,Mary ,St. Catharines,Dunnville,No Cargo,,,,Upbound,IMG_4361.jpg
1854,April,25,American,Schooner,Potomac,Toledo,Oswego,Wheat,Hides, ,,Downbound,IMG_4362.jpg
1854,April,25,American,Brigantine,Seneca,Toledo,Oswego,Wheat,Flour, ,,Downbound,IMG_4362.jpg
